id,name,unit_name,nutrient_nbr,rank
1001,Solids,G,201,200
1002,Nitrogen,G,202,500
1003,Protein,G,203,600
1004,Total lipid (fat),G,204,800
1005,"Carbohydrate, by difference",G,205,1110
1006,"Fiber, crude (DO NOT USE - Archived)",G,206,999999
1007,Ash,G,207,1000
1008,Energy,KCAL,208,300
1009,Starch,G,209,2200
1010,Sucrose,G,210,1600
1011,Glucose (dextrose),G,211,1700
1012,Fructose,G,212,1800
1013,Lactose,G,213,1900
1014,Maltose,G,214,2000
1015,Amylose,G,218,999999
1016,Amylopectin,G,219,999999
1017,Pectin,G,220,999999
1018,"Alcohol, ethyl",G,221,18200
1019,Pentosan,G,222,999999
1020,Pentoses,G,223,999999
1021,Hemicellulose,G,224,999999
1022,Cellulose,G,225,999999
1023,pH,PH,226,999999
1024,Specific Gravity,SP_GR,227,999999
1025,Organic acids,G,229,2850
1026,Acetic acid,MG,230,2900
1027,Aconitic acid,MG,231,3000
1028,Benzoic acid,MG,232,3100
1029,Chelidonic acid,MG,233,3200
1030,Chlorogenic acid,MG,234,3300
1031,Cinnamic acid,MG,235,3400
1032,Citric acid,MG,236,3500
1033,Fumaric acid,MG,237,3600
1034,Galacturonic acid,MG,238,3700
1035,Gallic acid,MG,239,3800
1036,Glycolic acid,MG,240,3900
1037,Isocitric acid,MG,241,4000
1038,Lactic acid,MG,242,4100
1039,Malic acid,MG,243,4200
1040,Oxaloacetic acid,MG,244,4300
1041,Oxalic acid,MG,245,4400
1042,Phytic acid,MG,246,4500
1043,Pyruvic acid,MG,247,4600
1044,Quinic acid,MG,248,4700
1045,Salicylic acid,MG,249,4800
1046,Succinic acid,MG,250,4900
1047,Tartaric acid,MG,251,5000
1048,Ursolic acid,MG,252,5100
1049,"Solids, non-fat",G,253,999999
1050,"Carbohydrate, by summation",G,205.2,1120
1051,Water,G,255,100
1052,Adjusted Nitrogen,G,256,999999
1053,Adjusted Protein,G,257,700
1054,Piperine,G,259,999999
1055,Mannitol,G,260,2500
1056,Sorbitol,G,261,2600
1057,Caffeine,MG,262,18300
1058,Theobromine,MG,263,18400
1059,Nitrates,MG,264,999999
1060,Nitrites,MG,265,999999
1061,"Nitrosamine,total",MG,266,999999
1062,Energy,kJ,268,400
1063,"Sugars, Total NLEA",G,269.3,1500
1064,"Solids, soluble",G,271,999999
1065,Glycogen,G,272,999999
1067,Reducing sugars,G,274,999999
1068,Beta-glucans,G,276,999999
1069,Oligosaccharides,G,281,999999
1070,Nonstarch polysaccharides,G,282,999999
1071,Resistant starch,G,283,999999
1072,"Carbohydrate, other",G,284,
1073,Arabinose,G,285,999999
1074,Xylose,G,286,999999
1075,Galactose,G,287,2100
1076,Raffinose,G,288,2300
1077,Stachyose,G,289,2400
1078,Xylitol,G,290,2700
1079,"Fiber, total dietary",G,291,1200
1080,Lignin,G,292,999999
1081,Ribose,G,294,999999
1082,"Fiber, soluble",G,295,1240
1083,Theophylline,MG,296,999999
1084,"Fiber, insoluble",G,297,1260
1085,Total fat (NLEA),G,298,900
1086,Total sugar alcohols,G,299,999999
1087,"Calcium, Ca",MG,301,5300
1088,"Chlorine, Cl",MG,302,999999
1089,"Iron, Fe",MG,303,5400
1090,"Magnesium, Mg",MG,304,5500
1091,"Phosphorus, P",MG,305,5600
1092,"Potassium, K",MG,306,5700
1093,"Sodium, Na",MG,307,5800
1094,"Sulfur, S",MG,308,6241
1095,"Zinc, Zn",MG,309,5900
1096,"Chromium, Cr",UG,310,999999
1097,"Cobalt, Co",UG,311,6244
1098,"Copper, Cu",MG,312,6000
1099,"Fluoride, F",UG,313,6240
1100,"Iodine, I",UG,314,6150
1101,"Manganese, Mn",MG,315,6100
1102,"Molybdenum, Mo",UG,316,6243
1103,"Selenium, Se",UG,317,6200
1104,"Vitamin A, IU",IU,318,7500
1105,Retinol,UG,319,7430
1106,"Vitamin A, RAE",UG,320,7420
1107,"Carotene, beta",UG,321,7440
1108,"Carotene, alpha",UG,322,7450
1109,Vitamin E (alpha-tocopherol),MG,323,7905
1110,"Vitamin D (D2 + D3), International Units",IU,324,8650
1111,Vitamin D2 (ergocalciferol),UG,325,8710
1112,Vitamin D3 (cholecalciferol),UG,326,8720
1113,25-hydroxycholecalciferol,UG,327,8730
1114,Vitamin D (D2 + D3),UG,328,8700
1115,25-hydroxyergocalciferol,UG,329,8740
1116,Phytoene,UG,330,7570
1117,Phytofluene,UG,331,7580
1118,"Carotene, gamma",UG,332,7455
1119,Zeaxanthin,UG,338.2,7564
1120,"Cryptoxanthin, beta",UG,334,7460
1121,Lutein,UG,338.1,7562
1122,Lycopene,UG,337,7530
1123,Lutein + zeaxanthin,UG,338,7560
1124,Vitamin E (label entry primarily),IU,340,999999
1125,"Tocopherol, beta",MG,341,8000
1126,"Tocopherol, gamma",MG,342,8100
1127,"Tocopherol, delta",MG,343,8200
1128,"Tocotrienol, alpha",MG,344,8300
1129,"Tocotrienol, beta",MG,345,8400
1130,"Tocotrienol, gamma",MG,346,8500
1131,"Tocotrienol, delta",MG,347,8600
1132,"Aluminum, Al",UG,348,999999
1133,"Antimony, Sb",UG,349,999999
1134,"Arsenic, As",UG,350,999999
1135,"Barium, Ba",UG,351,999999
1136,"Beryllium, Be",UG,352,999999
1137,"Boron, B",UG,354,6245
1138,"Bromine, Br",UG,355,999999
1139,"Cadmium, Cd",UG,356,999999
1140,"Gold, Au",UG,363,999999
1141,"Iron, heme",MG,364,999999
1142,"Iron, non-heme",MG,365,999999
1143,"Lead, Pb",UG,367,999999
1144,"Lithium, Li",UG,368,999999
1145,"Mercury, Hg",UG,370,999999
1146,"Nickel, Ni",UG,371,6242
1147,"Rubidium, Rb",UG,373,999999
1149,"Salt, NaCl",MG,375,999999
1150,"Silicon, Si",UG,378,999999
1151,"Silver, Ag",UG,379,999999
1152,"Strontium, Sr",UG,380,999999
1153,"Tin, Sn",UG,385,999999
1154,"Titanium, Ti",UG,386,999999
1155,"Vanadium, V",UG,389,999999
1156,"Vitamin A, RE",MCG_RE,392,7500
1157,Carotene,MCG_RE,393,7600
1158,Vitamin E,MG_ATE,394,7800
