"id","name","nutrient_id"
"1000","NITROGEN-DUMAS METHO","1002"
"1001","Nitrogen","1002"
"1002","NITROGEN-DUMAS METHOD","1002"
"1003","Nitrogen - Kjeldahl","1002"
"1004","Protein","1003"
"1005","Proteins","1003"
"1006","PROTEIN (N X 5.70) D","1003"
"1007","PROTEIN (N X 6.38) D","1003"
"1008","PROTEIN(N X 6.25)DUM","1003"
"1009","Protein - Kjeldahl","1003"
"1010","PROTEIN avg","1003"
"1011","PROTEIN(N X 6.25)DUMAS","1003"
"1012","PROTEIN (N X 5.70) DUMAS","1003"
"1013","PROTEIN (N X 6.38) DUMAS","1003"
"1014","Protein - Combustion (N X 6.25)","1003"
"1015","PROTEIN (N X 5.46) DUMAS","1003"
"1016","Protein (N x 6.25) Dumas Method","1003"
"1017","Protein (N x 6.38) Dumas Method","1003"
"1018","Protein (N x 5.30) Dumas Method","1003"
"1019","FAT","1004"
"1020","Fat (a)","1004"
"1021","Fat (b)","1004"
"1022","TOTAL FAT","1004"
"1023","TOTAL FAT, ACID HYDR","1004"
"1024","TOTAL FAT, SOXHLET E","1004"
"1025","Crude Fat By Acid Hydrolysis","1004"
"1026","Fat - Mojo, Acid Hydrolysis","1004"
"1027","Fat - Mojonnier","1004"
"1028","Crude Fat By Soxhlet Extraction","1004"
"1029","FAT avg","1004"
"1030","Fat - Soxhlet","1004"
"1031","FAT, ACID HYDROLYSIS","1004"
"1032","Fat by Acid Hydrolysis","1004"
"1033","TOTAL FAT, SOXHLET EXTRACTION","1004"
"1034","Total Lipid","1004"
"1035","Fat by Base Hydrolysis","1004"
"1036","Carbohydrates, Calculated","1005"
"1037","TOTAL CARBOHYDRATE","1005"
"1038","Carbohydrates (b)","1005"
"1039","CARBOHYDRATES","1005"
"1040","Carbohydrate","1005"
"1041","Carbohydrates - Calculation","1005"
"1042","Total Carbohydrates","1005"
"1043","Ash","1007"
"1044","Ash avg","1007"
"1045","CALORIES","1008"
"1046","Starch","1009"
"1047","STARCH, ENZYMATIC   ","1009"
"1048","Starch, Ewers","1009"
"1049","Starch Assay","1009"
"1050","Ewers Starch","1009"
"1051","Starch (Ewers)","1009"
"1052","Starch-Ewers","1009"
"1053","Sucrose","1010"
"1054","SUCROSE BY HPLC     ","1010"
"1055","Sucrose (avg)","1010"
"1056","Glucose","1011"
"1057","GLUCOSE BY HPLC     ","1011"
"1058","Glucose avg","1011"
"1059","Glucose (avg)","1011"
"1060","Dextrose","1011"
"1061","Fructose","1012"
"1062","FRUCTOSE BY HPLC    ","1012"
"1063","Fructose (avg)","1012"
"1064","Lactose","1013"
"1065","LACTOSE BY HPLC     ","1013"
"1066","Lactose (avg)","1013"
"1067","Maltose","1014"
"1068","MALTOSE BY HPLC     ","1014"
"1069","Maltose (avg)","1014"
"1071","SPECIFIC GRAVITY","1024"
"1072","Acetic Acid","1026"
"1073","CITRIC ACID","1032"
"1074","Lactic Acid","1038"
"1075","Malic Acid","1039"
"1079","Moisture","1051"
"1080","MOISTURE, 100 DEGREE","1051"
"1081","MOISTURE, 70 DEGREE ","1051"
"1082","Moisture By Vacuum Oven","1051"
"1083","Moisture - Vacuum Oven","1051"
"1084","MOISTURE avg","1051"
"1085","MOISTURE  AVG","1051"
"1086","Moisture - Forced Air Oven","1051"
"1087","MOISTURE, 60 DEGREE","1051"
"1088","MOISTURE, 100 DEGREES","1051"
"1089","Moisture -Vacuum Oven","1051"
"1090","MOISTURE (100 DEGREES)","1051"
"1091","Caffeine","1057"
"1092","CAFFEINE BY HPLC","1057"
"1093","Theobromine","1058"
"1094","THEOBROMINE BY HPLC","1058"
"1095","TOTAL SUGARS","1063"
"1096","TOTAL SUGAR         ","1063"
"1099","Galactose","1075"
"1100","GALACTOSE BY HPLC","1075"
"1101","Galactose (avg)","1075"
"1102","TOTAL DIETARY FIBER","1079"
"1103","DIETARY FIBER       ","1079"
"1104","Fiber, Dietary, Total","1079"
"1105","Dietary  Fiber","1079"
"1106","Total Dietary Fiber (TDF)","1079"
"1107","TDF","1079"
"1109","Soluble fiber","1082"
"1110","Fiber, Dietary, Soluble - Calc","1082"
"1111","Soluble Dietary Fiber","1082"
"1112","Fiber (Soluble)","1082"
"1116","Insoluble fiber","1084"
"1117","Fiber, Dietary, Insoluble","1084"
"1118","Insoluble Dietary Fiber","1084"
"1119","INSOLUBLE DIETARY FI","1084"
"1120","Fiber (Insoluble)","1084"
"1121","SUM OF QUANTITATED FATTY ACIDS","1085"
"1122","Calcium","1087"
"1123","Calcium (Ca)","1087"
"1124","Ca","1087"
"1125","Iron","1089"
"1126","Iron (Fe)","1089"
"1127","Fe","1089"
"1128","Magnesium (Mg)","1090"
"1129","MAGNESIUM           ","1090"
"1130","Mg","1090"
"1131","Phosphorus","1091"
"1132","Phosphorus (P)","1091"
"1133","Phosphorus (Total)","1091"
"1134","Total phosphorus (P)","1091"
"1135","P","1091"
"1136","Potassium","1092"
"1137","Potassium (K)","1092"
"1138","K","1092"
"1139","Sodium","1093"
"1140","Sodium (Na)","1093"
"1141","Na","1093"
"1142","Zinc","1095"
"1143","Zinc (Zn)","1095"
"1144","Zn","1095"
"1145","Copper","1098"
"1146","Copper (Cu)","1098"
"1147","Cu","1098"
"1148","IODINE","1100"
"1149","Manganese","1101"
