"fdc_id","data_type","description","food_category_id","publication_date"
"1097510","survey_fndds_food","Milk, human","","2020-10-30"
"1097511","survey_fndds_food","Milk, NFS","","2020-10-30"
"1097512","survey_fndds_food","Milk, whole","","2020-10-30"
"1097513","survey_fndds_food","Milk, low sodium, whole","","2020-10-30"
"1097514","survey_fndds_food","Milk, calcium fortified, whole","","2020-10-30"
"1097515","survey_fndds_food","Milk, calcium fortified, low fat (1%)","","2020-10-30"
"1097516","survey_fndds_food","Milk, calcium fortified, fat free (skim)","","2020-10-30"
"1097517","survey_fndds_food","Milk, reduced fat (2%)","","2020-10-30"
"1097518","survey_fndds_food","Milk, acidophilus, low fat (1%)","","2020-10-30"
"1097519","survey_fndds_food","Milk, acidophilus, reduced fat (2%)","","2020-10-30"
"1097520","survey_fndds_food","Milk, low fat (1%)","","2020-10-30"
"1097521","survey_fndds_food","Milk, fat free (skim)","","2020-10-30"
"1097522","survey_fndds_food","Milk, lactose free, low fat (1%)","","2020-10-30"
"1097523","survey_fndds_food","Milk, lactose free, fat free (skim)","","2020-10-30"
"1097524","survey_fndds_food","Milk, lactose free, reduced fat (2%)","","2020-10-30"
"1097525","survey_fndds_food","Milk, lactose free, whole","","2020-10-30"
"1097526","survey_fndds_food","Buttermilk, fat free (skim)","","2020-10-30"
"1097527","survey_fndds_food","Buttermilk, low fat (1%)","","2020-10-30"
"1097528","survey_fndds_food","Buttermilk, reduced fat (2%)","","2020-10-30"
"1097529","survey_fndds_food","Buttermilk, whole","","2020-10-30"
"1097530","survey_fndds_food","Kefir, NS as to fat content","","2020-10-30"
"1097531","survey_fndds_food","Goat's milk, whole","","2020-10-30"
"1097532","survey_fndds_food","Milk, dry, reconstituted, NS as to fat content","","2020-10-30"
"1097533","survey_fndds_food","Milk, dry, reconstituted, whole","","2020-10-30"
"1097534","survey_fndds_food","Milk, dry, reconstituted, low fat (1%)","","2020-10-30"
"1097535","survey_fndds_food","Milk, dry, reconstituted, fat free (skim)","","2020-10-30"
"1097536","survey_fndds_food","Milk, evaporated, NS as to fat content ","","2020-10-30"
"1097537","survey_fndds_food","Milk, evaporated, whole ","","2020-10-30"
"1097538","survey_fndds_food","Milk, evaporated, reduced fat (2%)","","2020-10-30"
"1097539","survey_fndds_food","Milk, evaporated, fat free (skim)","","2020-10-30"
"1097540","survey_fndds_food","Milk, condensed, sweetened","","2020-10-30"
