"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"985038","1097510","","999","WWEIA Category number","9602"
"993229","1097510","","999","WWEIA Category description","Human milk"
"985039","1097511","","999","WWEIA Category number","1004"
"993230","1097511","","999","WWEIA Category description","Milk, reduced fat"
"966609","1097512","2","1001","","leche fresca"
"966608","1097512","1","1001","","3.5% or 3.8% fat milk"
"985040","1097512","","999","WWEIA Category number","1002"
"993231","1097512","","999","WWEIA Category description","Milk, whole"
"985041","1097513","","999","WWEIA Category number","1002"
"993232","1097513","","999","WWEIA Category description","Milk, whole"
"985042","1097514","","999","WWEIA Category number","1002"
"993233","1097514","","999","WWEIA Category description","Milk, whole"
"985043","1097515","","999","WWEIA Category number","1006"
"993234","1097515","","999","WWEIA Category description","Milk, lowfat"
"966613","1097516","6","1001","","Skim Delux Calcium"
"966611","1097516","4","1001","","0.5% or less fat"
"966612","1097516","5","1001","","Skim Plus"
"966610","1097516","3","1001","","nonfat milk"
"985044","1097516","","999","WWEIA Category number","1008"
"993235","1097516","","999","WWEIA Category description","Milk, nonfat"
"966615","1097517","2","1001","","fortified milk"
"966614","1097517","1","1001","","Hi-Protein milk"
"966616","1097517","3","1001","","1.5% fat milk"
"985045","1097517","","999","WWEIA Category number","1004"
"993236","1097517","","999","WWEIA Category description","Milk, reduced fat"
"985046","1097518","","999","WWEIA Category number","1006"
"993237","1097518","","999","WWEIA Category description","Milk, lowfat"
"966617","1097519","1","1001","","1.5% fat acidophilus milk"
"985047","1097519","","999","WWEIA Category number","1004"
"993238","1097519","","999","WWEIA Category description","Milk, reduced fat"
"985048","1097520","","999","WWEIA Category number","1006"
"993239","1097520","","999","WWEIA Category description","Milk, lowfat"
"966619","1097521","3","1001","","0.5% or less fat"
"966618","1097521","2","1001","","nonfat milk"
"985049","1097521","","999","WWEIA Category number","1008"
"993240","1097521","","999","WWEIA Category description","Milk, nonfat"
"966621","1097522","2","1001","","Lactaid, NS as to fat content"
"966622","1097522","4","1001","","lactose reduced"
"966620","1097522","1","1001","","Lactaid"
"985050","1097522","","999","WWEIA Category number","1006"
"993241","1097522","","999","WWEIA Category description","Milk, lowfat"
"966625","1097523","4","1001","","lactose reduced"
"966623","1097523","1","1001","","Lactaid"
"966624","1097523","3","1001","","nonfat milk"
"985051","1097523","","999","WWEIA Category number","1008"
"993242","1097523","","999","WWEIA Category description","Milk, nonfat"
"966626","1097524","1","1001","","Lactaid"
"966627","1097524","3","1001","","lactose reduced"
"985052","1097524","","999","WWEIA Category number","1004"
"993243","1097524","","999","WWEIA Category description","Milk, reduced fat"
"966628","1097525","1","1001","","Lactaid whole milk"
"966629","1097525","2","1001","","lactose reduced"
"985053","1097525","","999","WWEIA Category number","1002"
"993244","1097525","","999","WWEIA Category description","Milk, whole"
"966630","1097526","3","1001","","nonfat buttermilk"
"985054","1097526","","999","WWEIA Category number","1008"
"993245","1097526","","999","WWEIA Category description","Milk, nonfat"
"966631","1097527","2","1001","","buttermilk, NS as to fat"
"985055","1097527","","999","WWEIA Category number","1006"
"993246","1097527","","999","WWEIA Category description","Milk, lowfat"
"966632","1097528","1","1001","","2% fat, made with nonfat milk solids"
"985056","1097528","","999","WWEIA Category number","1004"
"993247","1097528","","999","WWEIA Category description","Milk, reduced fat"
"985057","1097529","","999","WWEIA Category number","1002"
"993248","1097529","","999","WWEIA Category description","Milk, whole"
"966634","1097530","2","1001","","plain"
"966635","1097530","3","1001","","all flavors"
"966633","1097530","1","1001","","fermented milk drink"
"985058","1097530","","999","WWEIA Category number","1006"
"993249","1097530","","999","WWEIA Category description","Milk, lowfat"
"985059","1097531","","999","WWEIA Category number","1002"
"993250","1097531","","999","WWEIA Category description","Milk, whole"
"985060","1097532","","999","WWEIA Category number","1008"
"993251","1097532","","999","WWEIA Category description","Milk, nonfat"
"985061","1097533","","999","WWEIA Category number","1002"
"993252","1097533","","999","WWEIA Category description","Milk, whole"
"985062","1097534","","999","WWEIA Category number","1006"
"993253","1097534","","999","WWEIA Category description","Milk, lowfat"
"966636","1097535","1","1001","","nonfat milk"
"985063","1097535","","999","WWEIA Category number","1008"
"993254","1097535","","999","WWEIA Category description","Milk, nonfat"
"985064","1097536","","999","WWEIA Category number","1002"
"993255","1097536","","999","WWEIA Category description","Milk, whole"
"985065","1097537","","999","WWEIA Category number","1002"
"993256","1097537","","999","WWEIA Category description","Milk, whole"
"985066","1097538","","999","WWEIA Category number","1004"
"993257","1097538","","999","WWEIA Category description","Milk, reduced fat"
"966637","1097539","1","1001","","nonfat milk"
"985067","1097539","","999","WWEIA Category number","1008"
"993258","1097539","","999","WWEIA Category description","Milk, nonfat"
"985068","1097540","","999","WWEIA Category number","1202"
"993259","1097540","","999","WWEIA Category description","Flavored milk, whole"
"985069","1097541","","999","WWEIA Category number","1404"
"993260","1097541","","999","WWEIA Category description","Milk substitutes"
"966642","1097542","5","1001","","Soymilk"
"966643","1097542","6","1001","","NS as to type"
"966639","1097542","2","1001","","vanilla flavored"
"966641","1097542","4","1001","","West Soy"
"966638","1097542","1","1001","","Edensoy"
"966640","1097542","3","1001","","Silk"
"966644","1097542","7","1001","","Vitasoy"
"985070","1097542","","999","WWEIA Category number","1404"
"993261","1097542","","999","WWEIA Category description","Milk substitutes"
"966646","1097543","2","1001","","Silk"
"966645","1097543","1","1001","","vanilla flavored"
"966647","1097543","3","1001","","Vitasoy"
"966649","1097543","5","1001","","Soymilk"
"966648","1097543","4","1001","","West Soy"
"985071","1097543","","999","WWEIA Category number","1404"
"993262","1097543","","999","WWEIA Category description","Milk substitutes"
"966650","1097544","1","1001","","vanilla flavored"
"966652","1097544","3","1001","","Soymilk"
"966651","1097544","2","1001","","West Soy"
"985072","1097544","","999","WWEIA Category number","1404"
"993263","1097544","","999","WWEIA Category description","Milk substitutes"
"966655","1097545","3","1001","","Soymilk"
"966654","1097545","2","1001","","Belsoy"
"966653","1097545","1","1001","","Silk"
"985073","1097545","","999","WWEIA Category number","1404"
"993264","1097545","","999","WWEIA Category description","Milk substitutes"
"966658","1097546","3","1001","","Soymilk"
"966656","1097546","1","1001","","Silk"
"966657","1097546","2","1001","","Vitasoy"
"985074","1097546","","999","WWEIA Category number","1404"
"993265","1097546","","999","WWEIA Category description","Milk substitutes"
"966659","1097547","1","1001","","Soymilk"
"985075","1097547","","999","WWEIA Category number","1404"
"993266","1097547","","999","WWEIA Category description","Milk substitutes"
"966660","1097548","3","1001","","vanilla flavored"
"966662","1097548","6","1001","","cashew"
"966661","1097548","5","1001","","NS as to sweetened"
"985076","1097548","","999","WWEIA Category number","1404"
"993267","1097548","","999","WWEIA Category description","Milk substitutes"
"966664","1097549","5","1001","","cashew"
"966663","1097549","4","1001","","NS as to sweetened"
"985077","1097549","","999","WWEIA Category number","1404"
"993268","1097549","","999","WWEIA Category description","Milk substitutes"
"966667","1097550","6","1001","","cashew"
"966666","1097550","5","1001","","flavors other than chocolate"
"966665","1097550","1","1001","","unsweetened vanilla"
"985078","1097550","","999","WWEIA Category number","1404"
"993269","1097550","","999","WWEIA Category description","Milk substitutes"
"966670","1097551","3","1001","","Almond Dream"
"966669","1097551","2","1001","","Silk PureAlmond"
"966668","1097551","1","1001","","Blue Diamond Almond Breeze"
"985079","1097551","","999","WWEIA Category number","1404"
"993270","1097551","","999","WWEIA Category description","Milk substitutes"
"966671","1097552","1","1001","","Rice Dream beverage"
"985080","1097552","","999","WWEIA Category number","1404"
"993271","1097552","","999","WWEIA Category description","Milk substitutes"
"966672","1097553","1","1001","","Silk PureCoconut beverage"
"966673","1097553","2","1001","","So Delicious"
"985081","1097553","","999","WWEIA Category number","1404"
"993272","1097553","","999","WWEIA Category description","Milk substitutes"
"985082","1097554","","999","WWEIA Category number","1820"
"993273","1097554","","999","WWEIA Category description","Yogurt, regular"
"985083","1097555","","999","WWEIA Category number","1822"
"993274","1097555","","999","WWEIA Category description","Yogurt, Greek"
"985084","1097556","","999","WWEIA Category number","1820"
"993275","1097556","","999","WWEIA Category description","Yogurt, regular"
"985085","1097557","","999","WWEIA Category number","1820"
"993276","1097557","","999","WWEIA Category description","Yogurt, regular"
"985086","1097558","","999","WWEIA Category number","1820"
"993277","1097558","","999","WWEIA Category description","Yogurt, regular"
"966676","1097559","3","1001","","99% fat free"
"966675","1097559","2","1001","","2% fat"
"966674","1097559","1","1001","","1% fat"
"966677","1097559","4","1001","","light"
"985087","1097559","","999","WWEIA Category number","1820"
"993278","1097559","","999","WWEIA Category description","Yogurt, regular"
"966678","1097560","1","1001","","0% fat"
"966680","1097560","3","1001","","light"
"966681","1097560","4","1001","","light, NFS"
"966679","1097560","2","1001","","fat free"
"985088","1097560","","999","WWEIA Category number","1820"
"993279","1097560","","999","WWEIA Category description","Yogurt, regular"
"985089","1097561","","999","WWEIA Category number","1822"
"993280","1097561","","999","WWEIA Category description","Yogurt, Greek"
"985090","1097562","","999","WWEIA Category number","1822"
"993281","1097562","","999","WWEIA Category description","Yogurt, Greek"
"966683","1097563","2","1001","","1% fat"
"966684","1097563","3","1001","","99% fat free"
"966685","1097563","4","1001","","light"
"966682","1097563","1","1001","","2% fat"
"985091","1097563","","999","WWEIA Category number","1822"
"993282","1097563","","999","WWEIA Category description","Yogurt, Greek"
"966687","1097564","2","1001","","fat free"
"966688","1097564","3","1001","","light"
"966686","1097564","1","1001","","0% fat"
"966689","1097564","4","1001","","light, NFS"
"985092","1097564","","999","WWEIA Category number","1822"
"993283","1097564","","999","WWEIA Category description","Yogurt, Greek"
"985093","1097565","","999","WWEIA Category number","1820"
"993284","1097565","","999","WWEIA Category description","Yogurt, regular"
