"id","fdc_id","seq_num","amount","measure_unit_id","portion_description","modifier","gram_weight","data_points","footnote","min_year_acquired"
"260272","1097510","2","","9999","Quantity not specified","90000","0","","",""
"241017","1097510","3","","9999","1 fl oz","30000","30.8","","",""
"237070","1097510","1","","9999","1 cup","10205","246","","",""
"260273","1097511","6","","9999","Quantity not specified","90000","244","","",""
"256240","1097511","3","","9999","1 individual school container","64294","244","","",""
"254009","1097511","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"253759","1097511","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"241018","1097511","2","","9999","1 fl oz","30000","30.5","","",""
"237071","1097511","1","","9999","1 cup","10205","244","","",""
"260274","1097512","6","","9999","Quantity not specified","90000","244","","",""
"256241","1097512","3","","9999","1 individual school container","64294","244","","",""
"254010","1097512","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"253760","1097512","4","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"241019","1097512","2","","9999","1 fl oz","30000","30.5","","",""
"237072","1097512","1","","9999","1 cup","10205","244","","",""
"260275","1097513","5","","9999","Quantity not specified","90000","244","","",""
"254011","1097513","4","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"253761","1097513","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"241020","1097513","2","","9999","1 fl oz","30000","30.5","","",""
"237073","1097513","1","","9999","1 cup","10205","244","","",""
"260276","1097514","5","","9999","Quantity not specified","90000","244","","",""
"254012","1097514","4","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"253762","1097514","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"241021","1097514","2","","9999","1 fl oz","30000","30.5","","",""
"237074","1097514","1","","9999","1 cup","10205","244","","",""
"260277","1097515","5","","9999","Quantity not specified","90000","244","","",""
"254013","1097515","4","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"253763","1097515","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"241022","1097515","2","","9999","1 fl oz","30000","30.5","","",""
"237075","1097515","1","","9999","1 cup","10205","244","","",""
"260278","1097516","5","","9999","Quantity not specified","90000","244","","",""
"254014","1097516","4","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"253764","1097516","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"241023","1097516","2","","9999","1 fl oz","30000","30.5","","",""
"237076","1097516","1","","9999","1 cup","10205","244","","",""
"260279","1097517","6","","9999","Quantity not specified","90000","244","","",""
"256242","1097517","3","","9999","1 individual school container","64294","244","","",""
"254015","1097517","5","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
