"id","description","last_updated"
"1097510","Milk, human","2020-10-30"
"1097511","Milk, NFS","2020-10-30"
"1097512","Milk, whole","2020-10-30"
"1097513","Milk, low sodium, whole","2020-10-30"
"1097514","Milk, calcium fortified, whole","2020-10-30"
"1097515","Milk, calcium fortified, low fat (1%)","2020-10-30"
"1097516","Milk, calcium fortified, fat free (skim)","2020-10-30"
"1097517","Milk, reduced fat (2%)","2020-10-30"
"1097518","Milk, acidophilus, low fat (1%)","2020-10-30"
"1097519","Milk, acidophilus, reduced fat (2%)","2020-10-30"
"1097520","Milk, low fat (1%)","2020-10-30"
"1097521","Milk, fat free (skim)","2020-10-30"
"1097522","Milk, lactose free, low fat (1%)","2020-10-30"
"1097523","Milk, lactose free, fat free (skim)","2020-10-30"
"1097524","Milk, lactose free, reduced fat (2%)","2020-10-30"
"1097525","Milk, lactose free, whole","2020-10-30"
"1097526","Buttermilk, fat free (skim)","2020-10-30"
"1097527","Buttermilk, low fat (1%)","2020-10-30"
"1097528","Buttermilk, reduced fat (2%)","2020-10-30"
"1097529","Buttermilk, whole","2020-10-30"
"1097530","Kefir, NS as to fat content","2020-10-30"
"1097531","Goat's milk, whole","2020-10-30"
"1097532","Milk, dry, reconstituted, NS as to fat content","2020-10-30"
"1097533","Milk, dry, reconstituted, whole","2020-10-30"
"1097534","Milk, dry, reconstituted, low fat (1%)","2020-10-30"
"1097535","Milk, dry, reconstituted, fat free (skim)","2020-10-30"
"1097536","Milk, evaporated, NS as to fat content ","2020-10-30"
"1097537","Milk, evaporated, whole ","2020-10-30"
"1097538","Milk, evaporated, reduced fat (2%)","2020-10-30"
"1097539","Milk, evaporated, fat free (skim)","2020-10-30"
"1097540","Milk, condensed, sweetened","2020-10-30"
"1097541","Non-dairy milk, NFS","2020-10-30"
"1097542","Soy milk","2020-10-30"
"1097543","Soy milk, light","2020-10-30"
"1097544","Soy milk, nonfat","2020-10-30"
"1097545","Soy milk, chocolate","2020-10-30"
"1097546","Soy milk, light, chocolate","2020-10-30"
"1097547","Soy milk, nonfat, chocolate","2020-10-30"
"1097548","Almond milk, sweetened","2020-10-30"
"1097549","Almond milk, sweetened, chocolate","2020-10-30"
"1097550","Almond milk, unsweetened","2020-10-30"
"1097551","Almond milk, unsweetened, chocolate","2020-10-30"
"1097552","Rice milk","2020-10-30"
"1097553","Coconut milk","2020-10-30"
"1097554","Yogurt, NFS","2020-10-30"
"1097555","Yogurt, Greek, NS as to type of milk or flavor","2020-10-30"
"1097556","Yogurt, NS as to type of milk or flavor","2020-10-30"
"1097557","Yogurt, NS as to type of milk, plain","2020-10-30"
"1097558","Yogurt, whole milk, plain","2020-10-30"
"1097559","Yogurt, low fat milk, plain","2020-10-30"
"1097560","Yogurt, nonfat milk, plain","2020-10-30"
"1097561","Yogurt, Greek, NS as to type of milk, plain","2020-10-30"
"1097562","Yogurt, Greek, whole milk, plain","2020-10-30"
"1097563","Yogurt, Greek, low fat milk, plain","2020-10-30"
"1097564","Yogurt, Greek, nonfat milk, plain","2020-10-30"
"1097565","Yogurt, NS as to type of milk, fruit","2020-10-30"
"1097566","Yogurt, whole milk, fruit","2020-10-30"
"1097567","Yogurt, low fat milk, fruit","2020-10-30"
"1097568","Yogurt, nonfat milk, fruit","2020-10-30"
"1097569","Yogurt, Greek, NS as to type of milk, fruit","2020-10-30"
"1097570","Yogurt, Greek, whole milk, fruit","2020-10-30"
"1097571","Yogurt, Greek, low fat milk, fruit","2020-10-30"
"1097572","Yogurt, Greek, nonfat milk, fruit","2020-10-30"
"1097573","Yogurt, NS as to type of milk, flavors other than fruit","2020-10-30"
"1097574","Yogurt, whole milk, flavors other than fruit","2020-10-30"
"1097575","Yogurt, low fat milk, flavors other than fruit","2020-10-30"
"1097576","Yogurt, nonfat milk, flavors other than fruit","2020-10-30"
"1097577","Yogurt, Greek, NS as to type of milk, flavors other than fruit","2020-10-30"
"1097578","Yogurt, Greek, whole milk, flavors other than fruit","2020-10-30"
"1097579","Yogurt, Greek, low fat milk, flavors other than fruit","2020-10-30"
"1097580","Yogurt, Greek, nonfat milk, flavors other than fruit","2020-10-30"
"1097581","Yogurt, Greek, with oats","2020-10-30"
"1097582","Yogurt, liquid","2020-10-30"
"1097583","Chipotle dip, yogurt based","2020-10-30"
"1097584","Dill dip, yogurt based","2020-10-30"
"1097585","Onion dip, yogurt based","2020-10-30"
"1097586","Ranch dip, yogurt based","2020-10-30"
"1097587","Spinach dip, yogurt based","2020-10-30"
"1097588","Tzatziki dip","2020-10-30"
"1097589","Vegetable dip, yogurt based","2020-10-30"
"1097590","Yogurt parfait, low fat, with fruit","2020-10-30"
"1097591","Frozen yogurt, NFS","2020-10-30"
"1097592","Frozen yogurt, vanilla","2020-10-30"
"1097593","Frozen yogurt, chocolate","2020-10-30"
"1097594","Frozen yogurt, soft serve, vanilla","2020-10-30"
"1097595","Frozen yogurt, soft serve, chocolate","2020-10-30"
"1097596","Frozen yogurt sandwich","2020-10-30"
"1097597","Frozen yogurt bar, vanilla","2020-10-30"
"1097598","Frozen yogurt bar, chocolate","2020-10-30"
"1097599","Frozen yogurt cone, chocolate","2020-10-30"
"1097600","Frozen yogurt cone, vanilla","2020-10-30"
"1097601","Frozen yogurt cone, vanilla, waffle cone","2020-10-30"
"1097602","Frozen yogurt cone, chocolate, waffle cone","2020-10-30"
"1097603","Yogurt, whole milk, baby food","2020-10-30"
"1097604","Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS","2020-10-30"
"1097605","Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron","2020-10-30"
"1097606","Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA","2020-10-30"
"1097607","Chocolate milk, NFS","2020-10-30"
"1097608","Chocolate milk, ready to drink, whole","2020-10-30"
"1097609","Chocolate milk, ready to drink, reduced fat","2020-10-30"
"1097610","Chocolate milk, ready to drink, fat free","2020-10-30"
"1097611","Chocolate milk, ready to drink, low fat","2020-10-30"
"1097612","Chocolate milk, ready to drink, reduced sugar, NS as to milk","2020-10-30"
"1097613","Chocolate milk, ready to drink, low fat (Nesquik)","2020-10-30"
"1097614","Chocolate milk, ready to drink, fat free (Nesquik)","2020-10-30"
"1097615","Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)","2020-10-30"
"1097616","Hot chocolate / Cocoa, ready to drink","2020-10-30"
"1097617","Hot chocolate / Cocoa, ready to drink, made with nonfat milk","2020-10-30"
