"id","fdc_id","fdc_of_input_food","seq_num","amount","sr_code","sr_description","unit","portion_code","portion_description","gram_weight","retention_code","survey_flag"
"78315","1097510","","1","100","1107","Milk, human, mature, fluid","GM","0","NONE","100","0",""
"78319","1097511","","4","11","1085","Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)","GM","0","NONE","11","0",""
"78316","1097511","","1","35","1077","Milk, whole, 3.25% milkfat, with added vitamin D","GM","0","NONE","35","0",""
"78318","1097511","","3","17","1082","Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D","GM","0","NONE","17","0",""
"78317","1097511","","2","37","1079","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","GM","0","NONE","37","0",""
"78320","1097512","","1","100","1077","Milk, whole, 3.25% milkfat, with added vitamin D","GM","0","NONE","100","0",""
"78321","1097513","","1","100","1089","Milk, low sodium, fluid","GM","0","NONE","100","0",""
"78322","1097514","","1","100","1077","Milk, whole, 3.25% milkfat, with added vitamin D","GM","0","NONE","100","0",""
"78323","1097515","","1","100","1082","Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D","GM","0","NONE","100","0",""
"78324","1097516","","1","100","42290","Milk, fluid, nonfat, calcium fortified (fat free or skim)","GM","0","NONE","100","0",""
"78325","1097517","","1","100","1079","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","GM","0","NONE","100","0",""
"78326","1097518","","1","100","1082","Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D","GM","0","NONE","100","0",""
"78327","1097519","","1","100","1079","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","GM","0","NONE","100","0",""
"78328","1097520","","1","100","1082","Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D","GM","0","NONE","100","0",""
"78329","1097521","","1","100","1085","Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)","GM","0","NONE","100","0",""
"78330","1097522","","1","100","1082","Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D","GM","0","NONE","100","0",""
"78331","1097523","","1","100","1085","Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)","GM","0","NONE","100","0",""
"78332","1097524","","1","100","1079","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","GM","0","NONE","100","0",""
"78333","1097525","","1","100","1077","Milk, whole, 3.25% milkfat, with added vitamin D","GM","0","NONE","100","0",""
"78334","1097526","","1","100","1088","Milk, buttermilk, fluid, cultured, lowfat","GM","0","NONE","100","0",""
"78335","1097527","","1","100","1088","Milk, buttermilk, fluid, cultured, lowfat","GM","0","NONE","100","0",""
"78336","1097528","","1","100","42189","Milk, buttermilk, fluid, cultured, reduced fat","GM","0","NONE","100","0",""
"78337","1097529","","1","100","1230","Milk, buttermilk, fluid, whole","GM","0","NONE","100","0",""
"78338","1097530","","1","50","1289","Kefir, lowfat, plain, LIFEWAY","GM","0","NONE","50","0",""
"78339","1097530","","2","50","1290","Kefir, lowfat, strawberry, LIFEWAY","GM","0","NONE","50","0",""
"78340","1097531","","1","100","1106","Milk, goat, fluid, with added vitamin D","GM","0","NONE","100","0",""
"78341","1097532","","1","23","1154","Milk, dry, nonfat, regular, with added vitamin A and vitamin D","GM","0","NONE","23","0",""
"78342","1097532","","2","1","14411","Beverages, water, tap, drinking","C","10205","1 cup","237","0",""
"78344","1097533","","2","1","14411","Beverages, water, tap, drinking","C","10205","1 cup","237","0",""
"78343","1097533","","1","0.3333","1090","Milk, dry, whole, with added vitamin D","C","10205","1 cup","42.662","0",""
"78346","1097534","","2","1","14411","Beverages, water, tap, drinking","C","10205","1 cup","237","0",""
"78345","1097534","","1","23","1154","Milk, dry, nonfat, regular, with added vitamin A and vitamin D","GM","0","NONE","23","0",""
"78347","1097534","","3","2.5","1003","Butter oil, anhydrous","GM","0","NONE","2.5","0",""
"78348","1097535","","1","23","1091","Milk, dry, nonfat, regular, without added vitamin A and vitamin D","GM","0","NONE","23","0",""
"78349","1097535","","2","1","14411","Beverages, water, tap, drinking","C","10205","1 cup","237","0",""
"78350","1097536","","1","100","1096","Milk, canned, evaporated, with added vitamin D and without added vitamin A","GM","0","NONE","100","0",""
"78351","1097537","","1","100","1096","Milk, canned, evaporated, with added vitamin D and without added vitamin A","GM","0","NONE","100","0",""
"78352","1097538","","1","100","1097","Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D","GM","0","NONE","100","0",""
"78353","1097538","","2","1.8","1003","Butter oil, anhydrous","GM","0","NONE","1.8","0",""
"78354","1097539","","1","100","1097","Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D","GM","0","NONE","100","0",""
"78355","1097540","","1","100","1095","Milk, canned, condensed, sweetened","GM","0","NONE","100","0",""
"78358","1097541","","3","30","16139","Soymilk, original and vanilla, with added calcium, vitamins A and D","GM","0","NONE","30","0",""
"78357","1097541","","2","32","14091","Beverages, almond milk, unsweetened, shelf stable","GM","0","NONE","32","0",""
"78356","1097541","1097548","1","32","11350000","Almond milk, sweetened","GM","0","NONE","32","0",""
"78359","1097541","","4","6","14171","Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2","GM","0","NONE","6","0",""
"78360","1097542","","1","100","16139","Soymilk, original and vanilla, with added calcium, vitamins A and D","GM","0","NONE","100","0",""
"78361","1097543","","1","100","16225","Soymilk, original and vanilla, light, with added calcium, vitamins A and D","GM","0","NONE","100","0",""
"78362","1097544","","1","100","16230","Soymilk (all flavors), nonfat, with added calcium, vitamins A and D","GM","0","NONE","100","0",""
"78363","1097545","","1","100","16168","Soymilk, chocolate, with added calcium, vitamins A and D","GM","0","NONE","100","0",""
"78364","1097546","","1","100","16227","Soymilk, chocolate and other flavors, light, with added calcium, vitamins A and D","GM","0","NONE","100","0",""
"78365","1097547","","1","100","16227","Soymilk, chocolate and other flavors, light, with added calcium, vitamins A and D","GM","0","NONE","100","0",""
"78366","1097548","","1","96","14091","Beverages, almond milk, unsweetened, shelf stable","GM","0","NONE","96","0",""
"78367","1097548","","2","4","19335","Sugars, granulated","GM","0","NONE","4","0",""
"78369","1097549","","2","7","19335","Sugars, granulated","GM","0","NONE","7","0",""
"78370","1097549","","3","0.3","19165","Cocoa, dry powder, unsweetened","GM","0","NONE","0.3","0",""
"78368","1097549","","1","93","14091","Beverages, almond milk, unsweetened, shelf stable","GM","0","NONE","93","0",""
"78371","1097550","","1","100","14091","Beverages, almond milk, unsweetened, shelf stable","GM","0","NONE","100","0",""
"78373","1097551","","2","0.3","19165","Cocoa, dry powder, unsweetened","GM","0","NONE","0.3","0",""
"78372","1097551","","1","100","14091","Beverages, almond milk, unsweetened, shelf stable","GM","0","NONE","100","0",""
"78374","1097552","","1","100","14639","Beverages, rice milk, unsweetened","GM","0","NONE","100","0",""
"78375","1097553","","1","100","14171","Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2","GM","0","NONE","100","0",""
"78377","1097554","","2","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78376","1097554","","1","100","1117","Yogurt, plain, low fat","GM","0","NONE","100","0",""
"78378","1097555","","1","100","1287","Yogurt, Greek, plain, lowfat","GM","0","NONE","100","0",""
"78379","1097556","","1","100","1117","Yogurt, plain, low fat","GM","0","NONE","100","0",""
"78380","1097556","","2","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78381","1097557","","1","100","1117","Yogurt, plain, low fat","GM","0","NONE","100","0",""
"78382","1097557","","2","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78383","1097558","","1","100","1116","Yogurt, plain, whole milk","GM","0","NONE","100","0",""
"78384","1097558","","2","0.011","999328","Vitamin D as ingredient","GM","0","NONE","0.011","0",""
"78385","1097559","","1","100","1117","Yogurt, plain, low fat","GM","0","NONE","100","0",""
"78386","1097559","","2","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78387","1097560","","1","100","1118","Yogurt, plain, skim milk","GM","0","NONE","100","0",""
"78388","1097560","","2","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78389","1097561","","1","100","1287","Yogurt, Greek, plain, lowfat","GM","0","NONE","100","0",""
"78390","1097562","","1","100","1293","Yogurt, Greek, plain, whole milk","GM","0","NONE","100","0",""
"78391","1097563","","1","100","1287","Yogurt, Greek, plain, lowfat","GM","0","NONE","100","0",""
"78392","1097564","","1","100","1256","Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)","GM","0","NONE","100","0",""
"78395","1097565","","3","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78393","1097565","","1","88","1117","Yogurt, plain, low fat","GM","0","NONE","88","0",""
"78394","1097565","","2","12","19297","Jams and preserves","GM","0","NONE","12","0",""
"78398","1097566","","3","0.011","999328","Vitamin D as ingredient","GM","0","NONE","0.011","0",""
"78396","1097566","","1","88","1116","Yogurt, plain, whole milk","GM","0","NONE","88","0",""
"78397","1097566","","2","12","19297","Jams and preserves","GM","0","NONE","12","0",""
"78401","1097567","","3","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78400","1097567","","2","12","19297","Jams and preserves","GM","0","NONE","12","0",""
"78399","1097567","","1","88","1117","Yogurt, plain, low fat","GM","0","NONE","88","0",""
"78404","1097568","","3","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78403","1097568","","2","12","19297","Jams and preserves","GM","0","NONE","12","0",""
"78402","1097568","","1","88","1118","Yogurt, plain, skim milk","GM","0","NONE","88","0",""
"78405","1097569","","1","100","1284","Yogurt, Greek, strawberry, lowfat","GM","0","NONE","100","0",""
"78406","1097570","","1","100","1294","Yogurt, Greek, fruit, whole milk","GM","0","NONE","100","0",""
"78407","1097571","","1","100","1284","Yogurt, Greek, strawberry, lowfat","GM","0","NONE","100","0",""
"78408","1097572","","1","100","1285","Yogurt, Greek, strawberry, nonfat","GM","0","NONE","100","0",""
"78411","1097573","","3","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78410","1097573","","2","3","19335","Sugars, granulated","GM","0","NONE","3","0",""
"78409","1097573","","1","97","1117","Yogurt, plain, low fat","GM","0","NONE","97","0",""
"78412","1097574","","1","95","1116","Yogurt, plain, whole milk","GM","0","NONE","95","0",""
"78414","1097574","","3","0.011","999328","Vitamin D as ingredient","GM","0","NONE","0.011","0",""
"78413","1097574","","2","5","19335","Sugars, granulated","GM","0","NONE","5","0",""
"78417","1097575","","3","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78415","1097575","","1","97","1117","Yogurt, plain, low fat","GM","0","NONE","97","0",""
"78416","1097575","","2","3","19335","Sugars, granulated","GM","0","NONE","3","0",""
"78420","1097576","","3","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78418","1097576","","1","97","1118","Yogurt, plain, skim milk","GM","0","NONE","97","0",""
"78419","1097576","","2","3","19335","Sugars, granulated","GM","0","NONE","3","0",""
"78421","1097577","","1","100","1297","Yogurt, Greek, vanilla, lowfat","GM","0","NONE","100","0",""
"78423","1097578","","2","2","1003","Butter oil, anhydrous","GM","0","NONE","2","0",""
"78422","1097578","","1","98","1297","Yogurt, Greek, vanilla, lowfat","GM","0","NONE","98","0",""
"78424","1097579","","1","100","1297","Yogurt, Greek, vanilla, lowfat","GM","0","NONE","100","0",""
"78425","1097580","","1","100","1286","Yogurt, Greek, vanilla, nonfat","GM","0","NONE","100","0",""
"78426","1097581","","1","80","1297","Yogurt, Greek, vanilla, lowfat","GM","0","NONE","80","0",""
"78427","1097581","1101740","2","20","57227000","Cereal, granola","GM","0","NONE","20","0",""
"78428","1097582","","1","70","1117","Yogurt, plain, low fat","GM","0","NONE","70","0",""
"78431","1097582","","4","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78430","1097582","","3","10","19297","Jams and preserves","GM","0","NONE","10","0",""
"78429","1097582","","2","20","14411","Beverages, water, tap, drinking","GM","0","NONE","20","0",""
