"fdc_id","food_code","wweia_category_number","start_date","end_date"
"1097510","11000000","9602","2017-01-01","2018-12-31"
"1097511","11100000","1004","2017-01-01","2018-12-31"
"1097512","11111000","1002","2017-01-01","2018-12-31"
"1097513","11111100","1002","2017-01-01","2018-12-31"
"1097514","11111150","1002","2017-01-01","2018-12-31"
"1097515","11111160","1006","2017-01-01","2018-12-31"
"1097516","11111170","1008","2017-01-01","2018-12-31"
"1097517","11112110","1004","2017-01-01","2018-12-31"
"1097518","11112120","1006","2017-01-01","2018-12-31"
"1097519","11112130","1004","2017-01-01","2018-12-31"
"1097520","11112210","1006","2017-01-01","2018-12-31"
"1097521","11113000","1008","2017-01-01","2018-12-31"
"1097522","11114300","1006","2017-01-01","2018-12-31"
"1097523","11114320","1008","2017-01-01","2018-12-31"
"1097524","11114330","1004","2017-01-01","2018-12-31"
"1097525","11114350","1002","2017-01-01","2018-12-31"
"1097526","11115000","1008","2017-01-01","2018-12-31"
"1097527","11115100","1006","2017-01-01","2018-12-31"
"1097528","11115200","1004","2017-01-01","2018-12-31"
"1097529","11115300","1002","2017-01-01","2018-12-31"
"1097530","11115400","1006","2017-01-01","2018-12-31"
"1097531","11116000","1002","2017-01-01","2018-12-31"
"1097532","11120000","1008","2017-01-01","2018-12-31"
"1097533","11121100","1002","2017-01-01","2018-12-31"
"1097534","11121210","1006","2017-01-01","2018-12-31"
"1097535","11121300","1008","2017-01-01","2018-12-31"
"1097536","11210050","1002","2017-01-01","2018-12-31"
"1097537","11211050","1002","2017-01-01","2018-12-31"
"1097538","11211400","1004","2017-01-01","2018-12-31"
"1097539","11212050","1008","2017-01-01","2018-12-31"
"1097540","11220000","1202","2017-01-01","2018-12-31"
"1097541","11300100","1404","2017-01-01","2018-12-31"
"1097542","11320000","1404","2017-01-01","2018-12-31"
"1097543","11320100","1404","2017-01-01","2018-12-31"
"1097544","11320200","1404","2017-01-01","2018-12-31"
"1097545","11321000","1404","2017-01-01","2018-12-31"
"1097546","11321100","1404","2017-01-01","2018-12-31"
"1097547","11321200","1404","2017-01-01","2018-12-31"
"1097548","11350000","1404","2017-01-01","2018-12-31"
"1097549","11350010","1404","2017-01-01","2018-12-31"
"1097550","11350020","1404","2017-01-01","2018-12-31"
"1097551","11350030","1404","2017-01-01","2018-12-31"
"1097552","11360000","1404","2017-01-01","2018-12-31"
"1097553","11370000","1404","2017-01-01","2018-12-31"
"1097554","11400000","1820","2017-01-01","2018-12-31"
"1097555","11400010","1822","2017-01-01","2018-12-31"
"1097556","11410000","1820","2017-01-01","2018-12-31"
"1097557","11411010","1820","2017-01-01","2018-12-31"
"1097558","11411100","1820","2017-01-01","2018-12-31"
